"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/wordtest/2_16640000_500000000_0.5.csv",,,,"Date:","03 Mar 2016 03:08:10 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.472,1.443,76.335,1.628,0.000,0.122,933520.608,3957538.956,0.0,0.0,1410.653,1521.238,1776.895,2044.210,1456970890.071
1.623,0.0,98.377,0.0,0.0,0.0,0.0,0.0,12384.0,17759.0,0.0,0.0,692.0,1201.0,1456970891.072
0.0,0.125,99.875,0.0,0.0,0.0,0.0,110592.0,2335.0,983.0,0.0,0.0,497.0,906.0,1456970892.072
0.125,0.0,99.625,0.250,0.0,0.0,0.0,77824.0,1087.0,345.0,0.0,0.0,458.0,882.0,1456970893.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1711.0,458.0,0.0,0.0,458.0,911.0,1456970894.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2399.0,573.0,0.0,0.0,448.0,889.0,1456970895.072
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1651.0,345.0,0.0,0.0,465.0,921.0,1456970896.072
0.125,0.0,99.249,0.626,0.0,0.0,4096.0,335872.0,1993.0,536.0,4096.0,0.0,553.0,912.0,1456970897.072
0.250,0.0,99.374,0.375,0.0,0.0,0.0,45056.0,2335.0,573.0,0.0,0.0,506.0,983.0,1456970898.072
0.0,0.125,99.625,0.250,0.0,0.0,0.0,8192.0,1279.0,345.0,0.0,0.0,486.0,933.0,1456970899.072
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1839.0,458.0,0.0,0.0,452.0,904.0,1456970900.072
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,2527.0,573.0,0.0,0.0,445.0,865.0,1456970901.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,1369.0,435.0,0.0,0.0,453.0,861.0,1456970902.072
0.125,0.125,99.500,0.250,0.0,0.0,0.0,81920.0,1955.0,531.0,0.0,0.0,458.0,900.0,1456970903.072
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,2425.0,651.0,0.0,0.0,476.0,906.0,1456970904.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1087.0,691.0,0.0,0.0,454.0,876.0,1456970905.071
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1583.0,458.0,0.0,0.0,451.0,881.0,1456970906.072
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2143.0,573.0,0.0,0.0,432.0,863.0,1456970907.072
0.0,0.0,99.500,0.500,0.0,0.0,0.0,24576.0,1023.0,345.0,0.0,0.0,442.0,877.0,1456970908.072
