"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/wordtest/1_128000000_5700000000_0.75.csv",,,,"Date:","11 Mar 2016 18:59:13 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
18.120,1.235,79.610,0.958,0.000,0.076,799889.349,3626199.683,0.0,0.0,796.687,786.049,1391.872,1409.655,1457719153.440
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,311.0,1457719154.441
0.0,0.125,99.750,0.125,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,149.0,293.0,1457719155.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6568.0,5162.0,0.0,0.0,129.0,260.0,1457719156.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,341.0,0.0,0.0,139.0,274.0,1457719157.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,259.0,1457719158.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,472.0,1588.0,0.0,0.0,134.0,275.0,1457719159.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,138.0,275.0,1457719160.441
0.125,0.0,99.625,0.250,0.0,0.0,0.0,20480.0,408.0,1242.0,0.0,0.0,137.0,270.0,1457719161.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,273.0,1457719162.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,550.0,682.0,0.0,0.0,149.0,287.0,1457719163.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,267.0,1457719164.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,245760.0,728.0,1242.0,0.0,0.0,208.0,262.0,1457719165.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,687.0,0.0,0.0,136.0,270.0,1457719166.441
0.250,0.0,99.376,0.375,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,173.0,313.0,1457719167.441
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,664.0,1242.0,0.0,0.0,176.0,316.0,1457719168.441
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,307.0,341.0,0.0,0.0,162.0,289.0,1457719169.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,263.0,1457719170.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,664.0,1306.0,0.0,0.0,142.0,266.0,1457719171.441
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,151.0,292.0,1457719172.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,600.0,1370.0,0.0,0.0,129.0,255.0,1457719173.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,277.0,1457719174.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,61440.0,678.0,1092.0,0.0,0.0,176.0,287.0,1457719175.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,272.0,1457719176.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,664.0,1242.0,0.0,0.0,125.0,248.0,1457719177.441
0.0,0.0,99.750,0.250,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,148.0,289.0,1457719178.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,600.0,1242.0,0.0,0.0,138.0,272.0,1457719179.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,261.0,1457719180.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,550.0,682.0,0.0,0.0,138.0,268.0,1457719181.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,256.0,1457719182.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,133.0,265.0,1457719183.441
0.125,0.0,99.750,0.125,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,153.0,296.0,1457719184.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,131.0,258.0,1457719185.441
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,265.0,1457719186.441
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,358.0,682.0,0.0,0.0,156.0,297.0,1457719187.441
1.748,0.749,97.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1276.0,1457719188.441
17.021,1.126,81.852,0.0,0.0,0.0,0.0,0.0,406233.0,113184.0,0.0,0.0,1746.0,1311.0,1457719189.441
30.538,1.377,67.835,0.250,0.0,0.0,0.0,1511424.0,0.0,0.0,0.0,0.0,2245.0,812.0,1457719190.441
17.043,0.877,82.080,0.0,0.0,0.0,0.0,0.0,291026.0,5179.0,0.0,0.0,887.0,801.0,1457719191.441
17.358,0.252,82.390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,781.0,1457719192.441
21.598,0.749,77.653,0.0,0.0,0.0,0.0,0.0,3948.0,4091.0,0.0,0.0,1638.0,1518.0,1457719193.441
15.163,0.376,84.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.0,1929.0,1457719194.441
0.749,0.0,99.001,0.250,0.0,0.0,0.0,188416.0,4981.0,117416.0,0.0,0.0,288.0,481.0,1457719195.441
56.313,6.061,37.500,0.0,0.0,0.126,0.0,0.0,10735.0,2929.0,0.0,0.0,7135.0,7275.0,1457719196.441
93.601,4.768,1.631,0.0,0.0,0.0,0.0,0.0,22103.0,75782.0,0.0,0.0,2997.0,2448.0,1457719197.441
97.250,2.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2992.0,1973.0,1457719198.441
94.007,5.868,0.125,0.0,0.0,0.0,0.0,0.0,5064.0,5402.0,0.0,0.0,2864.0,1957.0,1457719199.441
93.962,4.277,1.635,0.0,0.0,0.126,0.0,1052672.0,1541.0,2489.0,0.0,0.0,3341.0,2407.0,1457719200.441
96.629,3.121,0.0,0.0,0.0,0.250,0.0,405504.0,2718.0,3625.0,0.0,0.0,3290.0,4824.0,1457719201.441
97.750,2.125,0.125,0.0,0.0,0.0,0.0,0.0,19966.0,16585.0,0.0,0.0,2614.0,1984.0,1457719202.441
