"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/4_1048576_400000000.csv",,,,"Date:","07 Feb 2016 05:02:44 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
10.971,0.674,88.072,0.259,0.000,0.024,271708.099,982404.441,0.0,0.0,138.542,164.184,707.431,769.760,1454817764.942
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,909.0,828.0,0.0,0.0,590.0,435.0,1454817765.943
0.125,0.125,99.751,0.0,0.0,0.0,0.0,1060864.0,40005.0,2218877.0,0.0,0.0,144.0,268.0,1454817766.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,241.0,339.0,0.0,0.0,142.0,273.0,1454817767.943
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,843.0,898.0,0.0,0.0,840.0,411.0,1454817768.943
0.125,0.0,99.001,0.874,0.0,0.0,0.0,176128.0,57209.0,2218737.0,0.0,0.0,141.0,272.0,1454817769.943
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,305.0,339.0,0.0,0.0,141.0,270.0,1454817770.943
0.250,0.0,99.750,0.0,0.0,0.0,0.0,8192.0,843.0,898.0,0.0,0.0,875.0,403.0,1454817771.943
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,59861.0,2218737.0,0.0,0.0,152.0,292.0,1454817772.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,305.0,339.0,0.0,0.0,139.0,269.0,1454817773.943
0.250,0.125,99.251,0.375,0.0,0.0,0.0,61440.0,907.0,898.0,0.0,0.0,865.0,409.0,1454817774.943
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,58681.0,2218667.0,0.0,0.0,144.0,279.0,1454817775.943
0.250,0.0,99.750,0.0,0.0,0.0,0.0,40960.0,241.0,339.0,0.0,0.0,155.0,288.0,1454817776.943
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,845.0,828.0,0.0,0.0,734.0,409.0,1454817777.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,52013.0,2218737.0,0.0,0.0,159.0,292.0,1454817778.943
0.249,0.125,99.127,0.499,0.0,0.0,0.0,77824.0,369.0,339.0,0.0,0.0,170.0,310.0,1454817779.943
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,625.0,898.0,0.0,0.0,519.0,357.0,1454817780.943
0.250,0.0,99.501,0.250,0.0,0.0,0.0,1830912.0,28905.0,1109538.0,0.0,0.0,299.0,284.0,1454817781.943
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,241.0,339.0,0.0,0.0,184.0,327.0,1454817782.943
0.498,0.125,99.377,0.0,0.0,0.0,0.0,0.0,843.0,898.0,0.0,0.0,933.0,441.0,1454817783.943
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,340.0,1454817784.943
0.250,0.0,99.376,0.375,0.0,0.0,0.0,53248.0,61482.0,2219146.0,0.0,0.0,149.0,283.0,1454817785.943
0.250,0.125,99.625,0.0,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,660.0,552.0,1454817786.943
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,1140601.0,2227592.0,0.0,0.0,145.0,264.0,1454817787.943
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,689.0,339.0,0.0,0.0,157.0,295.0,1454817788.943
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,433.0,828.0,0.0,0.0,618.0,554.0,1454817789.943
0.125,0.0,99.500,0.375,0.0,0.0,0.0,90112.0,1137428.0,2225994.0,0.0,0.0,151.0,276.0,1454817790.943
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,275.0,1454817791.943
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,994.0,1167.0,0.0,0.0,626.0,414.0,1454817792.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,41729.0,2218667.0,0.0,0.0,151.0,280.0,1454817793.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,433.0,339.0,0.0,0.0,138.0,264.0,1454817794.943
0.249,0.125,99.252,0.374,0.0,0.0,0.0,36864.0,497.0,828.0,0.0,0.0,407.0,350.0,1454817795.943
0.125,0.0,99.750,0.125,0.0,0.0,0.0,2289664.0,19915.0,1109538.0,0.0,0.0,229.0,288.0,1454817796.943
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,497.0,339.0,0.0,0.0,142.0,273.0,1454817797.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1035.0,898.0,0.0,0.0,719.0,397.0,1454817798.943
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,47137.0,2218737.0,0.0,0.0,140.0,259.0,1454817799.943
0.125,0.0,99.501,0.375,0.0,0.0,0.0,118784.0,305.0,339.0,0.0,0.0,157.0,294.0,1454817800.943
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,843.0,898.0,0.0,0.0,693.0,384.0,1454817801.943
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,45856.0,2220718.0,0.0,0.0,207.0,325.0,1454817802.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,280.0,369.0,1454817803.943
0.627,0.502,98.871,0.0,0.0,0.0,0.0,0.0,7368485.0,1648888.0,0.0,0.0,2799.0,2049.0,1454817804.943
0.250,0.0,99.376,0.375,0.0,0.0,0.0,94208.0,2689299.0,4930645.0,0.0,0.0,149.0,283.0,1454817805.943
0.249,0.125,98.628,0.998,0.0,0.0,4096.0,9732096.0,113.0,339.0,0.0,0.0,260.0,273.0,1454817806.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,113.0,828.0,0.0,0.0,435.0,386.0,1454817807.943
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,280.0,1454817808.943
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,22747.0,2219006.0,0.0,0.0,141.0,269.0,1454817809.943
0.125,0.0,99.499,0.376,0.0,0.0,0.0,118784.0,0.0,0.0,0.0,0.0,761.0,390.0,1454817810.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,51154.0,2219635.0,0.0,0.0,143.0,267.0,1454817811.943
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,291.0,1454817812.943
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,226.0,1167.0,0.0,0.0,812.0,391.0,1454817813.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,57217.0,2218737.0,0.0,0.0,133.0,259.0,1454817814.943
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,139.0,273.0,1454817815.943
0.125,0.0,99.499,0.375,0.0,0.0,0.0,36864.0,0.0,0.0,0.0,0.0,746.0,426.0,1454817816.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,52602.0,2219775.0,0.0,0.0,134.0,263.0,1454817817.943
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,177.0,339.0,0.0,0.0,141.0,276.0,1454817818.943
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,319.0,1454817819.943
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,7041.0,1110436.0,0.0,0.0,149.0,287.0,1454817820.943
0.250,0.0,99.376,0.375,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,157.0,299.0,1454817821.943
0.501,0.375,98.623,0.501,0.0,0.0,24576.0,0.0,1276.0,1237.0,0.0,0.0,806.0,830.0,1454817822.943
70.618,9.584,19.294,0.504,0.0,0.0,118784.0,0.0,69898.0,2230495.0,98304.0,0.0,5220.0,7337.0,1454817823.943
96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,629.0,0.0,0.0,2349.0,2894.0,1454817824.943
95.630,4.245,0.0,0.0,0.0,0.125,0.0,0.0,497.0,1118.0,0.0,0.0,2554.0,1989.0,1454817825.943
89.950,5.025,0.879,4.146,0.0,0.0,0.0,1753088.0,21147.0,2220855.0,0.0,0.0,3184.0,2117.0,1454817826.943
92.866,6.383,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3341.0,2745.0,1454817827.943
97.375,2.500,0.0,0.0,0.0,0.125,0.0,0.0,9294.0,11562.0,0.0,0.0,2931.0,2260.0,1454817828.943
97.875,2.125,0.0,0.0,0.0,0.0,0.0,0.0,17111.0,2219376.0,0.0,0.0,2733.0,6584.0,1454817829.943
96.500,3.500,0.0,0.0,0.0,0.0,0.0,0.0,369.0,629.0,0.0,0.0,2509.0,3038.0,1454817830.943
86.250,7.875,5.750,0.0,0.0,0.125,0.0,167936.0,0.0,0.0,0.0,0.0,3538.0,4157.0,1454817831.943
79.526,12.734,7.241,0.0,0.0,0.499,987136.0,0.0,5594283.0,2293019.0,0.0,0.0,3686.0,2309.0,1454817832.943
97.622,2.378,0.0,0.0,0.0,0.0,2973696.0,0.0,323.0,1113.0,0.0,0.0,2833.0,12482.0,1454817833.943
96.750,1.500,1.500,0.0,0.0,0.250,1019904.0,0.0,2591.0,8003.0,0.0,0.0,3388.0,3487.0,1454817834.943
3.496,5.743,90.762,0.0,0.0,0.0,0.0,0.0,34312.0,2245352.0,0.0,0.0,2523.0,3494.0,1454817835.943
0.125,0.125,97.747,2.003,0.0,0.0,0.0,9572352.0,113.0,901.0,0.0,0.0,324.0,296.0,1454817836.943
38.588,4.918,56.368,0.0,0.0,0.126,0.0,0.0,16559.0,5339.0,0.0,0.0,2977.0,3195.0,1454817837.943
94.632,5.368,0.0,0.0,0.0,0.0,0.0,0.0,53437.0,2221664.0,0.0,0.0,2351.0,2690.0,1454817838.943
95.506,4.370,0.0,0.0,0.0,0.125,0.0,0.0,330.0,629.0,0.0,0.0,2327.0,2583.0,1454817839.943
95.125,4.500,0.0,0.0,0.0,0.375,0.0,0.0,2317.0,2093.0,0.0,0.0,3082.0,2219.0,1454817840.943
93.985,5.639,0.376,0.0,0.0,0.0,0.0,385024.0,14942.0,2220014.0,0.0,0.0,3000.0,2752.0,1454817841.943
96.758,3.117,0.125,0.0,0.0,0.0,0.0,0.0,8529.0,10933.0,0.0,0.0,2500.0,1977.0,1454817842.943
96.871,2.879,0.0,0.0,0.0,0.250,0.0,0.0,0.0,0.0,0.0,0.0,2706.0,6519.0,1454817843.943
98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15516.0,2220145.0,0.0,0.0,2656.0,4471.0,1454817844.943
93.992,5.507,0.501,0.0,0.0,0.0,0.0,0.0,177.0,629.0,0.0,0.0,3042.0,3443.0,1454817845.943
88.875,10.625,0.125,0.0,0.0,0.375,0.0,200704.0,4876051.0,51146.0,0.0,0.0,4009.0,2658.0,1454817846.943
98.246,1.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,7877.0,1454817847.943
96.758,2.743,0.499,0.0,0.0,0.0,0.0,0.0,715302.0,2235792.0,0.0,0.0,3142.0,4510.0,1454817848.943
12.075,5.283,82.390,0.0,0.0,0.252,0.0,0.0,14842.0,24427.0,0.0,0.0,3524.0,4445.0,1454817849.943
20.776,0.876,78.348,0.0,0.0,0.0,0.0,0.0,18481.0,2220561.0,0.0,0.0,1670.0,733.0,1454817850.943
89.043,7.809,3.149,0.0,0.0,0.0,0.0,0.0,23249.0,7014.0,0.0,0.0,3854.0,4012.0,1454817851.943
94.618,5.131,0.125,0.0,0.0,0.125,0.0,483328.0,0.0,0.0,0.0,0.0,3301.0,2286.0,1454817852.943
96.996,3.004,0.0,0.0,0.0,0.0,0.0,0.0,28017.0,2222732.0,0.0,0.0,2842.0,2224.0,1454817853.943
94.750,5.250,0.0,0.0,0.0,0.0,0.0,0.0,2964.0,2351.0,0.0,0.0,2819.0,2045.0,1454817854.943
94.118,5.131,0.501,0.0,0.0,0.250,0.0,0.0,5953.0,6883.0,0.0,0.0,3274.0,2845.0,1454817855.942
97.625,2.375,0.0,0.0,0.0,0.0,0.0,700416.0,25663.0,2222208.0,0.0,0.0,2989.0,3735.0,1454817856.943
96.625,3.375,0.0,0.0,0.0,0.0,0.0,212992.0,0.0,0.0,0.0,0.0,2769.0,6130.0,1454817857.943
96.500,3.250,0.125,0.0,0.0,0.125,0.0,0.0,697193.0,10932.0,0.0,0.0,2948.0,2504.0,1454817858.943
67.166,14.482,18.227,0.0,0.0,0.125,0.0,0.0,36732.0,2230024.0,0.0,0.0,3304.0,3956.0,1454817859.943
96.867,2.130,0.627,0.0,0.0,0.376,0.0,0.0,4858841.0,51199.0,0.0,0.0,3334.0,2325.0,1454817860.943
96.750,2.500,0.375,0.0,0.0,0.375,0.0,9764864.0,4623.0,4854.0,0.0,0.0,3614.0,6215.0,1454817861.943
54.774,6.281,38.819,0.0,0.0,0.126,0.0,352256.0,0.0,0.0,0.0,0.0,3638.0,5217.0,1454817862.943
35.472,6.792,57.736,0.0,0.0,0.0,0.0,0.0,29120.0,2245422.0,0.0,0.0,2584.0,2540.0,1454817863.943
93.852,5.395,0.627,0.0,0.0,0.125,0.0,0.0,23711.0,8364.0,0.0,0.0,3851.0,3436.0,1454817864.943
95.750,4.250,0.0,0.0,0.0,0.0,0.0,0.0,37999.0,2219516.0,0.0,0.0,2399.0,2410.0,1454817865.943
95.875,4.125,0.0,0.0,0.0,0.0,0.0,0.0,311.0,629.0,0.0,0.0,2694.0,2037.0,1454817866.943
93.750,6.0,0.0,0.0,0.0,0.250,0.0,421888.0,2964.0,2351.0,0.0,0.0,3721.0,2448.0,1454817867.943
93.250,6.125,0.500,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,3128.0,2974.0,1454817868.943
97.247,2.753,0.0,0.0,0.0,0.0,0.0,0.0,720949.0,2239069.0,0.0,0.0,2637.0,3515.0,1454817869.943
98.002,1.748,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,3169.0,6133.0,1454817870.943
92.812,5.044,2.144,0.0,0.0,0.0,0.0,0.0,18283.0,2224251.0,0.0,0.0,3017.0,3036.0,1454817871.943
82.603,13.767,2.879,0.375,0.0,0.375,0.0,217088.0,1453971.0,22821.0,0.0,0.0,3933.0,2912.0,1454817872.943
97.875,2.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,3084.0,7213.0,1454817873.943
98.125,1.875,0.0,0.0,0.0,0.0,0.0,0.0,3437004.0,2258518.0,0.0,0.0,3073.0,4251.0,1454817874.943
42.750,7.250,50.0,0.0,0.0,0.0,0.0,0.0,15274.0,25184.0,0.0,0.0,3765.0,5116.0,1454817875.943
48.060,1.752,50.063,0.0,0.0,0.125,0.0,0.0,4414.0,3487.0,0.0,0.0,2796.0,1960.0,1454817876.943
82.138,5.786,11.950,0.126,0.0,0.0,0.0,442368.0,36666.0,2224219.0,0.0,0.0,3787.0,3439.0,1454817877.943
94.368,5.507,0.125,0.0,0.0,0.0,0.0,0.0,696809.0,8309.0,0.0,0.0,3079.0,2368.0,1454817878.943
96.500,3.375,0.0,0.0,0.0,0.125,0.0,0.0,210184.0,4654.0,0.0,0.0,2937.0,3885.0,1454817879.943
95.625,4.375,0.0,0.0,0.0,0.0,0.0,0.0,917208.0,2227115.0,0.0,0.0,2714.0,2510.0,1454817880.943
90.977,6.767,1.504,0.627,0.0,0.125,0.0,9478144.0,4289.0,6221.0,0.0,0.0,3432.0,2959.0,1454817881.943
95.244,4.756,0.0,0.0,0.0,0.0,0.0,385024.0,4309.0,5931.0,0.0,0.0,2962.0,3733.0,1454817882.943
97.500,2.500,0.0,0.0,0.0,0.0,0.0,0.0,699682.0,9143.0,0.0,0.0,3336.0,5128.0,1454817883.943
96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,693.0,0.0,0.0,2773.0,3499.0,1454817884.943
87.516,11.111,0.749,0.0,0.0,0.624,0.0,0.0,709551.0,14453.0,0.0,0.0,4395.0,3783.0,1454817885.943
96.871,2.879,0.0,0.0,0.0,0.250,0.0,11788288.0,0.0,0.0,0.0,0.0,3168.0,4074.0,1454817886.943
97.497,2.503,0.0,0.0,0.0,0.0,0.0,360448.0,3495823.0,2263685.0,0.0,0.0,3209.0,6401.0,1454817887.943
66.792,5.388,27.569,0.0,0.0,0.251,0.0,0.0,13455.0,23153.0,0.0,0.0,4137.0,5094.0,1454817888.943
52.698,4.517,42.660,0.0,0.0,0.125,0.0,0.0,26762.0,2221721.0,0.0,0.0,3543.0,2427.0,1454817889.943
81.407,5.025,13.568,0.0,0.0,0.0,0.0,0.0,710938.0,14653.0,0.0,0.0,3548.0,3455.0,1454817890.943
93.367,6.258,0.250,0.0,0.0,0.125,0.0,0.0,2369.0,3385.0,0.0,0.0,3133.0,4303.0,1454817891.943
94.632,4.994,0.250,0.0,0.0,0.125,0.0,442368.0,13641.0,2220987.0,0.0,0.0,3145.0,2392.0,1454817892.943
