"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/4_33280000_300000000_0.5.csv",,,,"Date:","27 Feb 2016 10:53:36 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.373,1.399,76.828,1.317,0.000,0.083,920603.604,4105770.908,0.0,0.0,778.761,762.024,1534.961,1545.848,1456566816.849
0.623,0.249,99.127,0.0,0.0,0.0,0.0,0.0,257.0,405.0,0.0,0.0,221.0,430.0,1456566817.850
0.626,0.250,99.124,0.0,0.0,0.0,0.0,0.0,435.0,965.0,0.0,0.0,212.0,395.0,1456566818.850
0.623,0.249,98.628,0.499,0.0,0.0,0.0,167936.0,449.0,469.0,0.0,0.0,241.0,410.0,1456566819.850
0.750,0.250,99.0,0.0,0.0,0.0,0.0,0.0,513.0,469.0,0.0,0.0,250.0,434.0,1456566820.850
0.625,0.125,99.250,0.0,0.0,0.0,0.0,0.0,563.0,1029.0,0.0,0.0,200.0,379.0,1456566821.850
0.625,0.125,99.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,370.0,1456566822.850
0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,706.0,1156.0,0.0,0.0,192.0,367.0,1456566823.850
0.501,0.250,98.748,0.501,0.0,0.0,0.0,315392.0,449.0,1029.0,0.0,0.0,246.0,392.0,1456566824.850
0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,243.0,341.0,0.0,0.0,181.0,349.0,1456566825.850
0.375,0.375,99.249,0.0,0.0,0.0,0.0,0.0,499.0,341.0,0.0,0.0,182.0,347.0,1456566826.850
0.750,0.125,99.125,0.0,0.0,0.0,0.0,0.0,613.0,901.0,0.0,0.0,230.0,406.0,1456566827.850
0.625,0.125,99.250,0.0,0.0,0.0,0.0,0.0,371.0,341.0,0.0,0.0,190.0,385.0,1456566828.850
0.501,0.250,98.498,0.751,0.0,0.0,0.0,315392.0,243.0,341.0,0.0,0.0,208.0,382.0,1456566829.850
0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,485.0,901.0,0.0,0.0,193.0,375.0,1456566830.850
0.625,0.125,99.250,0.0,0.0,0.0,0.0,0.0,243.0,341.0,0.0,0.0,182.0,356.0,1456566831.850
0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,307.0,341.0,0.0,0.0,187.0,373.0,1456566832.850
0.625,0.250,99.125,0.0,0.0,0.0,0.0,0.0,549.0,901.0,0.0,0.0,196.0,370.0,1456566833.850
